Hz,dB
337.802124023,63.9245549228,
337.802124023,63.9245549228,
336.456298828,63.685168032,
336.456298828,63.685168032,
326.362609863,63.5599558024,
326.362609863,63.5599558024,
333.09173584,63.540621792,
333.09173584,63.540621792,
325.016784668,63.4775710287,
325.016784668,63.4775710287,
322.998046875,63.1476673637,
322.998046875,63.1476673637,
328.381347656,62.9061487753,
328.381347656,62.9061487753,
323.670959473,62.7480344387,
323.670959473,62.7480344387,
335.110473633,62.6591837635,
335.110473633,62.6591837635,
341.166687012,62.6574227725,
341.166687012,62.6574227725,
321.65222168,62.5397410542,
321.65222168,62.5397410542,
327.708435059,62.027790236,
327.708435059,62.027790236,
339.820861816,62.0047076225,
339.820861816,62.0047076225,
334.437561035,61.947088613,
334.437561035,61.947088613,
331.745910645,61.9315751627,
331.745910645,61.9315751627,
329.727172852,61.7388222601,
329.727172852,61.7388222601,
342.512512207,61.7133764312,
342.512512207,61.7133764312,
320.306396484,61.4005987996,
320.306396484,61.4005987996,
338.475036621,61.3471159378,
338.475036621,61.3471159378,
335.78338623,61.1193648287,
335.78338623,61.1193648287,
331.072998047,60.9449419447,
331.072998047,60.9449419447,
346.549987793,60.9332970532,
346.549987793,60.9332970532,
345.877075195,60.7421681809,
345.877075195,60.7421681809,
341.839599609,60.7256666945,
341.839599609,60.7256666945,
327.035522461,60.6609498852,
327.035522461,60.6609498852,
343.185424805,60.5815241211,
343.185424805,60.5815241211,
333.764648438,60.5471699619,
333.764648438,60.5471699619,
553.807067871,60.497339007,
553.807067871,60.497339007,
319.633483887,60.152327968,
319.633483887,60.152327968,
324.34387207,60.1264739239,
324.34387207,60.1264739239,
339.147949219,60.0565728587,
339.147949219,60.0565728587,
325.689697266,60.0397823763,
325.689697266,60.0397823763,
318.287658691,59.774945169,
318.287658691,59.774945169,
344.53125,59.7395395707,
344.53125,59.7395395707,
345.204162598,59.700457977,
345.204162598,59.700457977,
330.400085449,59.2577477371,
330.400085449,59.2577477371,
320.979309082,59.2503248902,
320.979309082,59.2503248902,
347.895812988,59.1327118782,
347.895812988,59.1327118782,
340.493774414,58.9186034689,
340.493774414,58.9186034689,
554.479980469,58.869402501,
554.479980469,58.869402501,
322.325134277,58.7378545512,
322.325134277,58.7378545512,
372.120666504,58.6018758472,
372.120666504,58.6018758472,
318.960571289,58.4746344825,
318.960571289,58.4746344825,
343.858337402,58.4638595271,
343.858337402,58.4638595271,
553.134155273,58.264836917,
553.134155273,58.264836917,
1343.80645752,58.2167011614,
1343.80645752,58.2167011614,
329.054260254,57.8873114097,
329.054260254,57.8873114097,
