Hz,dB
21959.8297119,-inf,
21959.1567993,-inf,
21959.1567993,-inf,
21958.4838867,-inf,
21958.4838867,-inf,
21957.8109741,-inf,
21957.8109741,-inf,
21957.1380615,-inf,
21957.1380615,-inf,
21956.4651489,-inf,
21956.4651489,-inf,
21955.7922363,-inf,
21955.7922363,-inf,
21955.1193237,-inf,
21955.1193237,-inf,
21954.4464111,-inf,
21954.4464111,-inf,
21953.7734985,-inf,
21953.7734985,-inf,
21953.1005859,-inf,
21953.1005859,-inf,
21952.4276733,-inf,
21952.4276733,-inf,
21951.7547607,-inf,
21951.7547607,-inf,
21951.0818481,-inf,
21951.0818481,-inf,
21950.4089355,-inf,
21950.4089355,-inf,
21949.7360229,-inf,
21949.7360229,-inf,
21949.0631104,-inf,
21949.0631104,-inf,
21948.3901978,-inf,
21948.3901978,-inf,
21947.7172852,-inf,
21947.7172852,-inf,
21947.0443726,-inf,
21947.0443726,-inf,
21946.37146,-inf,
21946.37146,-inf,
21945.6985474,-inf,
21945.6985474,-inf,
21945.0256348,-inf,
21945.0256348,-inf,
21944.3527222,-inf,
21944.3527222,-inf,
21943.6798096,-inf,
21943.6798096,-inf,
21943.006897,-inf,
21943.006897,-inf,
21942.3339844,-inf,
21942.3339844,-inf,
21941.6610718,-inf,
21941.6610718,-inf,
21940.9881592,-inf,
21940.9881592,-inf,
21940.3152466,-inf,
21940.3152466,-inf,
21939.642334,-inf,
21939.642334,-inf,
21938.9694214,-inf,
21938.9694214,-inf,
21938.2965088,-inf,
21938.2965088,-inf,
21937.6235962,-inf,
21937.6235962,-inf,
21936.9506836,-inf,
21936.9506836,-inf,
21936.277771,-inf,
21936.277771,-inf,
21935.6048584,-inf,
21935.6048584,-inf,
21934.9319458,-inf,
21934.9319458,-inf,
21934.2590332,-inf,
21934.2590332,-inf,
21933.5861206,-inf,
21933.5861206,-inf,
21932.913208,-inf,
21932.913208,-inf,
21932.2402954,-inf,
21932.2402954,-inf,
21931.5673828,-inf,
21931.5673828,-inf,
21930.8944702,-inf,
21930.8944702,-inf,
21930.2215576,-inf,
21930.2215576,-inf,
21929.548645,-inf,
21929.548645,-inf,
21928.8757324,-inf,
21928.8757324,-inf,
21928.2028198,-inf,
21928.2028198,-inf,
21927.5299072,-inf,
21927.5299072,-inf,
21926.8569946,-inf,
21926.8569946,-inf,
21926.184082,-inf,
21926.184082,-inf,
21925.5111694,-inf,
21925.5111694,-inf,
21924.8382568,-inf,
21924.8382568,-inf,
21924.1653442,-inf,
21924.1653442,-inf,
21923.4924316,-inf,
21923.4924316,-inf,
21922.819519,-inf,
21922.819519,-inf,
21922.1466064,-inf,
21922.1466064,-inf,
21921.4736938,-inf,
21921.4736938,-inf,
21920.8007812,-inf,
21920.8007812,-inf,
21920.1278687,-inf,
21920.1278687,-inf,
21919.4549561,-inf,
21919.4549561,-inf,
21918.7820435,-inf,
21918.7820435,-inf,
21918.1091309,-inf,
21918.1091309,-inf,
21917.4362183,-inf,
21917.4362183,-inf,
21916.7633057,-inf,
21916.7633057,-inf,
21916.0903931,-inf,
21916.0903931,-inf,
21915.4174805,-inf,
21915.4174805,-inf,
21914.7445679,-inf,
21914.7445679,-inf,
21914.0716553,-inf,
21914.0716553,-inf,
21913.3987427,-inf,
21913.3987427,-inf,
21912.7258301,-inf,
21912.7258301,-inf,
21912.0529175,-inf,
21912.0529175,-inf,
21911.3800049,-inf,
21911.3800049,-inf,
21910.7070923,-inf,
21910.7070923,-inf,
21910.0341797,-inf,
21910.0341797,-inf,
21909.3612671,-inf,
21909.3612671,-inf,
21908.6883545,-inf,
21908.6883545,-inf,
21908.0154419,-inf,
21908.0154419,-inf,
21907.3425293,-inf,
21907.3425293,-inf,
21906.6696167,-inf,
21906.6696167,-inf,
21905.9967041,-inf,
21905.9967041,-inf,
21905.3237915,-inf,
21905.3237915,-inf,
21904.6508789,-inf,
21904.6508789,-inf,
21903.9779663,-inf,
21903.9779663,-inf,
21903.3050537,-inf,
21903.3050537,-inf,
21902.6321411,-inf,
21902.6321411,-inf,
21901.9592285,-inf,
21901.9592285,-inf,
21901.2863159,-inf,
21901.2863159,-inf,
21900.6134033,-inf,
21900.6134033,-inf,
21899.9404907,-inf,
21899.9404907,-inf,
21899.2675781,-inf,
21899.2675781,-inf,
21898.5946655,-inf,
21898.5946655,-inf,
21897.9217529,-inf,
21897.9217529,-inf,
21897.2488403,-inf,
21897.2488403,-inf,
21896.5759277,-inf,
21896.5759277,-inf,
21895.9030151,-inf,
21895.9030151,-inf,
21895.2301025,-inf,
21895.2301025,-inf,
21894.5571899,-inf,
21894.5571899,-inf,
21893.8842773,-inf,
21893.8842773,-inf,
21893.2113647,-inf,
21893.2113647,-inf,
21892.5384521,-inf,
21892.5384521,-inf,
21891.8655396,-inf,
21891.8655396,-inf,
21891.192627,-inf,
21891.192627,-inf,
21890.5197144,-inf,
21890.5197144,-inf,
21889.8468018,-inf,
21889.8468018,-inf,
21889.1738892,-inf,
21889.1738892,-inf,
21888.5009766,-inf,
21888.5009766,-inf,
21887.828064,-inf,
21887.828064,-inf,
21887.1551514,-inf,
21887.1551514,-inf,
21886.4822388,-inf,
21886.4822388,-inf,
21885.8093262,-inf,
21885.8093262,-inf,
21885.1364136,-inf,
21885.1364136,-inf,
21884.463501,-inf,
21884.463501,-inf,
21883.7905884,-inf,
21883.7905884,-inf,
21883.1176758,-inf,
21883.1176758,-inf,
21882.4447632,-inf,
21882.4447632,-inf,
21881.7718506,-inf,
21881.7718506,-inf,
21881.098938,-inf,
21881.098938,-inf,
21880.4260254,-inf,
21880.4260254,-inf,
21879.7531128,-inf,
