Hz,dB
69.9829101562,66.5785821055,
69.9829101562,66.5785821055,
69.3099975586,62.4464518055,
69.3099975586,62.4464518055,
61.2350463867,62.2641084954,
61.2350463867,62.2641084954,
70.6558227539,60.6870683759,
70.6558227539,60.6870683759,
62.580871582,59.0650104761,
62.580871582,59.0650104761,
52.4871826172,59.0508610402,
52.4871826172,59.0508610402,
92.1890258789,58.9643571883,
92.1890258789,58.9643571883,
71.3287353516,58.8604298963,
71.3287353516,58.8604298963,
59.8892211914,58.5086960065,
59.8892211914,58.5086960065,
39.7018432617,58.3954192658,
39.7018432617,58.3954192658,
45.7580566406,57.9691596227,
45.7580566406,57.9691596227,
73.3474731445,57.9247738209,
73.3474731445,57.9247738209,
60.5621337891,57.6452531332,
60.5621337891,57.6452531332,
55.1788330078,57.6042925341,
55.1788330078,57.6042925341,
95.5535888672,57.4158566525,
95.5535888672,57.4158566525,
94.8806762695,57.3268952417,
94.8806762695,57.3268952417,
55.8517456055,57.0459257035,
55.8517456055,57.0459257035,
40.3747558594,56.7132484958,
40.3747558594,56.7132484958,
47.1038818359,56.4873175946,
47.1038818359,56.4873175946,
96.2265014648,56.4708194705,
96.2265014648,56.4708194705,
27.5894165039,56.4225777954,
27.5894165039,56.4225777954,
46.4309692383,56.3961215584,
46.4309692383,56.3961215584,
78.7307739258,56.1805649355,
78.7307739258,56.1805649355,
26.2435913086,56.0531357086,
26.2435913086,56.0531357086,
67.9641723633,55.8101375754,
67.9641723633,55.8101375754,
68.6370849609,55.6930925398,
68.6370849609,55.6930925398,
57.8704833984,55.6838418065,
57.8704833984,55.6838418065,
90.8432006836,55.469124584,
90.8432006836,55.469124584,
92.8619384766,55.3838827718,
92.8619384766,55.3838827718,
48.4497070312,55.2768350439,
48.4497070312,55.2768350439,
38.3560180664,55.2544576676,
38.3560180664,55.2544576676,
53.8330078125,55.2355501652,
53.8330078125,55.2355501652,
72.0016479492,55.0824419638,
72.0016479492,55.0824419638,
93.5348510742,54.940303271,
93.5348510742,54.940303271,
24.8977661133,54.8592142301,
24.8977661133,54.8592142301,
50.4684448242,54.8331854815,
50.4684448242,54.8331854815,
44.4122314453,54.7512469095,
44.4122314453,54.7512469095,
26.9165039062,54.5892230889,
26.9165039062,54.5892230889,
82.7682495117,54.5798931859,
82.7682495117,54.5798931859,
43.06640625,54.5367316457,
43.06640625,54.5367316457,
63.2537841797,54.4452039834,
63.2537841797,54.4452039834,
137.94708252,54.3789065067,
137.94708252,54.3789065067,
64.599609375,54.3754515102,
64.599609375,54.3754515102,
49.7955322266,54.2856010788,
49.7955322266,54.2856010788,
61.9079589844,54.2139195844,
61.9079589844,54.2139195844,
33.6456298828,54.0811573586,
33.6456298828,54.0811573586,
30.2810668945,54.0272840692,
30.2810668945,54.0272840692,
78.0578613281,53.9987872302,
78.0578613281,53.9987872302,
28.9352416992,53.9469611816,
28.9352416992,53.9469611816,
47.7767944336,53.938572488,
47.7767944336,53.938572488,
35.6643676758,53.921924101,
35.6643676758,53.921924101,
87.4786376953,53.8991470696,
87.4786376953,53.8991470696,
77.3849487305,53.8833589251,
77.3849487305,53.8833589251,
75.3662109375,53.815880268,
75.3662109375,53.815880268,
24.2248535156,53.6983939985,
24.2248535156,53.6983939985,
37.6831054688,53.6502738549,
37.6831054688,53.6502738549,
36.3372802734,53.6479647254,
36.3372802734,53.6479647254,
42.3934936523,53.6345718816,
42.3934936523,53.6345718816,
83.4411621094,53.6115365535,
83.4411621094,53.6115365535,
90.1702880859,53.5779890688,
90.1702880859,53.5779890688,
34.3185424805,53.577607461,
34.3185424805,53.577607461,
51.1413574219,53.4230109448,
51.1413574219,53.4230109448,
74.6932983398,53.3936985889,
74.6932983398,53.3936985889,
67.2912597656,53.3584891336,
67.2912597656,53.3584891336,
51.8142700195,53.3537504224,
51.8142700195,53.3537504224,
86.8057250977,53.2722125092,
86.8057250977,53.2722125092,
91.5161132812,53.2370849826,
91.5161132812,53.2370849826,
29.6081542969,53.1814333473,
29.6081542969,53.1814333473,
